age,sex,life remaining
0y,male,"83 years, 5 months, 22 days"
0y,female,"89 years, 4 months, 29 days"
1y,male,"83 years, 4 months, 29 days"
1y,female,"89 years, 1 months, 11 days"
2y,male,"82 years, 8 months, 28 days"
2y,female,"88 years, 4 months, 10 days"
3y,male,"81 years, 7 months, 28 days"
3y,female,"87 years, 3 months, 16 days"
4y,male,"80 years, 4 months, 5 days"
4y,female,"86 years, 0 months, 20 days"
5y,male,"78 years, 11 months, 29 days"
5y,female,"84 years, 9 months, 12 days"
6y,male,"77 years, 9 months, 1 days"
6y,female,"83 years, 7 months, 3 days"
7y,male,"76 years, 7 months, 13 days"
7y,female,"82 years, 5 months, 24 days"
8y,male,"75 years, 6 months, 20 days"
8y,female,"81 years, 5 months, 4 days"
9y,male,"74 years, 6 months, 9 days"
9y,female,"80 years, 4 months, 22 days"
10y,male,"73 years, 5 months, 26 days"
10y,female,"79 years, 4 months, 10 days"
11y,male,"72 years, 4 months, 29 days"
11y,female,"78 years, 3 months, 18 days"
12y,male,"71 years, 3 months, 20 days"
12y,female,"77 years, 2 months, 18 days"
13y,male,"70 years, 2 months, 4 days"
13y,female,"76 years, 1 months, 12 days"
14y,male,"69 years, 0 months, 14 days"
14y,female,"75 years, 0 months, 3 days"
15y,male,"67 years, 10 months, 25 days"
15y,female,"73 years, 10 months, 25 days"
16y,male,"66 years, 9 months, 11 days"
16y,female,"72 years, 9 months, 18 days"
17y,male,"65 years, 8 months, 1 days"
17y,female,"71 years, 8 months, 12 days"
18y,male,"64 years, 6 months, 25 days"
18y,female,"70 years, 7 months, 8 days"
19y,male,"63 years, 5 months, 21 days"
19y,female,"69 years, 6 months, 5 days"
20y,male,"62 years, 4 months, 20 days"
20y,female,"68 years, 5 months, 2 days"
21y,male,"61 years, 3 months, 21 days"
21y,female,"67 years, 3 months, 29 days"
22y,male,"60 years, 2 months, 23 days"
22y,female,"66 years, 2 months, 25 days"
23y,male,"59 years, 1 months, 26 days"
23y,female,"65 years, 1 months, 22 days"
24y,male,"58 years, 1 months, 0 days"
24y,female,"64 years, 0 months, 19 days"
25y,male,"57 years, 0 months, 5 days"
25y,female,"62 years, 11 months, 16 days"
26y,male,"55 years, 11 months, 11 days"
26y,female,"61 years, 10 months, 14 days"
27y,male,"54 years, 10 months, 18 days"
27y,female,"60 years, 9 months, 13 days"
28y,male,"53 years, 9 months, 25 days"
28y,female,"59 years, 8 months, 13 days"
29y,male,"52 years, 9 months, 2 days"
29y,female,"58 years, 7 months, 13 days"
30y,male,"51 years, 8 months, 11 days"
30y,female,"57 years, 6 months, 14 days"
31y,male,"50 years, 7 months, 20 days"
31y,female,"56 years, 5 months, 14 days"
32y,male,"49 years, 6 months, 30 days"
32y,female,"55 years, 4 months, 15 days"
33y,male,"48 years, 6 months, 10 days"
33y,female,"54 years, 3 months, 16 days"
34y,male,"47 years, 5 months, 21 days"
34y,female,"53 years, 2 months, 17 days"
35y,male,"46 years, 5 months, 1 days"
35y,female,"52 years, 1 months, 19 days"
36y,male,"45 years, 4 months, 13 days"
36y,female,"51 years, 0 months, 21 days"
37y,male,"44 years, 3 months, 26 days"
37y,female,"49 years, 11 months, 23 days"
38y,male,"43 years, 3 months, 8 days"
38y,female,"48 years, 10 months, 25 days"
39y,male,"42 years, 2 months, 22 days"
39y,female,"47 years, 9 months, 28 days"
40y,male,"41 years, 2 months, 5 days"
40y,female,"46 years, 9 months, 1 days"
41y,male,"40 years, 1 months, 20 days"
41y,female,"45 years, 8 months, 4 days"
42y,male,"39 years, 1 months, 5 days"
42y,female,"44 years, 7 months, 8 days"
43y,male,"38 years, 0 months, 22 days"
43y,female,"43 years, 6 months, 12 days"
44y,male,"37 years, 0 months, 9 days"
44y,female,"42 years, 5 months, 17 days"
45y,male,"35 years, 11 months, 27 days"
45y,female,"41 years, 4 months, 22 days"
46y,male,"34 years, 11 months, 16 days"
46y,female,"40 years, 3 months, 29 days"
47y,male,"33 years, 11 months, 6 days"
47y,female,"39 years, 3 months, 5 days"
48y,male,"32 years, 10 months, 28 days"
48y,female,"38 years, 2 months, 13 days"
49y,male,"31 years, 10 months, 20 days"
49y,female,"37 years, 1 months, 21 days"
50y,male,"30 years, 10 months, 14 days"
50y,female,"36 years, 1 months, 0 days"
51y,male,"29 years, 10 months, 8 days"
51y,female,"35 years, 0 months, 11 days"
52y,male,"28 years, 10 months, 4 days"
52y,female,"33 years, 11 months, 23 days"
53y,male,"27 years, 10 months, 3 days"
53y,female,"32 years, 11 months, 6 days"
54y,male,"26 years, 10 months, 3 days"
54y,female,"31 years, 10 months, 21 days"
55y,male,"25 years, 10 months, 6 days"
55y,female,"30 years, 10 months, 7 days"
56y,male,"24 years, 10 months, 12 days"
56y,female,"29 years, 9 months, 26 days"
57y,male,"23 years, 10 months, 21 days"
57y,female,"28 years, 9 months, 16 days"
58y,male,"22 years, 11 months, 4 days"
58y,female,"27 years, 9 months, 8 days"
59y,male,"21 years, 11 months, 21 days"
59y,female,"26 years, 9 months, 2 days"
60y,male,"21 years, 0 months, 12 days"
60y,female,"25 years, 8 months, 29 days"
61y,male,"20 years, 1 months, 8 days"
61y,female,"24 years, 8 months, 28 days"
62y,male,"19 years, 2 months, 9 days"
62y,female,"23 years, 9 months, 0 days"
63y,male,"18 years, 3 months, 15 days"
63y,female,"22 years, 9 months, 5 days"
64y,male,"17 years, 4 months, 26 days"
64y,female,"21 years, 9 months, 13 days"
65y,male,"16 years, 6 months, 12 days"
65y,female,"20 years, 9 months, 25 days"
66y,male,"15 years, 8 months, 4 days"
66y,female,"19 years, 10 months, 10 days"
67y,male,"14 years, 10 months, 1 days"
67y,female,"18 years, 10 months, 30 days"
68y,male,"14 years, 0 months, 6 days"
68y,female,"17 years, 11 months, 24 days"
69y,male,"13 years, 2 months, 19 days"
69y,female,"17 years, 0 months, 24 days"
70y,male,"12 years, 5 months, 10 days"
70y,female,"16 years, 2 months, 1 days"
71y,male,"11 years, 8 months, 12 days"
71y,female,"15 years, 3 months, 15 days"
72y,male,"10 years, 11 months, 23 days"
72y,female,"14 years, 5 months, 6 days"
73y,male,"10 years, 3 months, 14 days"
73y,female,"13 years, 7 months, 6 days"
74y,male,"9 years, 7 months, 15 days"
74y,female,"12 years, 9 months, 15 days"
75y,male,"8 years, 11 months, 28 days"
75y,female,"12 years, 0 months, 3 days"
