age,sex,life remaining
0y,male,"59 years, 0 months, 29 days"
0y,female,"63 years, 4 months, 24 days"
1y,male,"62 years, 11 months, 27 days"
1y,female,"66 years, 11 months, 19 days"
2y,male,"64 years, 5 months, 23 days"
2y,female,"68 years, 3 months, 14 days"
3y,male,"64 years, 3 months, 1 days"
3y,female,"68 years, 0 months, 4 days"
4y,male,"63 years, 0 months, 5 days"
4y,female,"66 years, 9 months, 16 days"
5y,male,"61 years, 5 months, 20 days"
5y,female,"65 years, 3 months, 14 days"
6y,male,"60 years, 2 months, 10 days"
6y,female,"64 years, 0 months, 8 days"
7y,male,"59 years, 2 months, 17 days"
7y,female,"63 years, 0 months, 8 days"
8y,male,"58 years, 5 months, 1 days"
8y,female,"62 years, 2 months, 11 days"
9y,male,"57 years, 8 months, 14 days"
9y,female,"61 years, 5 months, 11 days"
10y,male,"56 years, 11 months, 19 days"
10y,female,"60 years, 8 months, 2 days"
11y,male,"56 years, 1 months, 14 days"
11y,female,"59 years, 9 months, 19 days"
12y,male,"55 years, 2 months, 4 days"
12y,female,"58 years, 10 months, 4 days"
13y,male,"54 years, 2 months, 2 days"
13y,female,"57 years, 9 months, 28 days"
14y,male,"53 years, 1 months, 19 days"
14y,female,"56 years, 9 months, 10 days"
15y,male,"52 years, 1 months, 7 days"
15y,female,"55 years, 8 months, 23 days"
16y,male,"51 years, 1 months, 7 days"
16y,female,"54 years, 8 months, 13 days"
17y,male,"50 years, 1 months, 18 days"
17y,female,"53 years, 8 months, 12 days"
18y,male,"49 years, 2 months, 9 days"
18y,female,"52 years, 8 months, 18 days"
19y,male,"48 years, 3 months, 6 days"
19y,female,"51 years, 8 months, 28 days"
20y,male,"47 years, 4 months, 9 days"
20y,female,"50 years, 9 months, 10 days"
21y,male,"46 years, 5 months, 15 days"
21y,female,"49 years, 9 months, 24 days"
22y,male,"45 years, 6 months, 24 days"
22y,female,"48 years, 10 months, 8 days"
23y,male,"44 years, 8 months, 5 days"
23y,female,"47 years, 10 months, 25 days"
24y,male,"43 years, 9 months, 19 days"
24y,female,"46 years, 11 months, 14 days"
25y,male,"42 years, 11 months, 5 days"
25y,female,"46 years, 0 months, 6 days"
26y,male,"42 years, 0 months, 24 days"
26y,female,"45 years, 1 months, 2 days"
27y,male,"41 years, 2 months, 14 days"
27y,female,"44 years, 2 months, 1 days"
28y,male,"40 years, 4 months, 7 days"
28y,female,"43 years, 3 months, 3 days"
29y,male,"39 years, 6 months, 0 days"
29y,female,"42 years, 4 months, 9 days"
30y,male,"38 years, 7 months, 25 days"
30y,female,"41 years, 5 months, 17 days"
31y,male,"37 years, 9 months, 21 days"
31y,female,"40 years, 6 months, 28 days"
32y,male,"36 years, 11 months, 17 days"
32y,female,"39 years, 8 months, 11 days"
33y,male,"36 years, 1 months, 16 days"
33y,female,"38 years, 9 months, 28 days"
34y,male,"35 years, 3 months, 17 days"
34y,female,"37 years, 11 months, 18 days"
35y,male,"34 years, 5 months, 22 days"
35y,female,"37 years, 1 months, 11 days"
36y,male,"33 years, 8 months, 0 days"
36y,female,"36 years, 3 months, 7 days"
37y,male,"32 years, 10 months, 11 days"
37y,female,"35 years, 5 months, 7 days"
38y,male,"32 years, 0 months, 26 days"
38y,female,"34 years, 7 months, 8 days"
39y,male,"31 years, 3 months, 13 days"
39y,female,"33 years, 9 months, 11 days"
40y,male,"30 years, 6 months, 1 days"
40y,female,"32 years, 11 months, 15 days"
41y,male,"29 years, 8 months, 21 days"
41y,female,"32 years, 1 months, 19 days"
42y,male,"28 years, 11 months, 12 days"
42y,female,"31 years, 3 months, 23 days"
43y,male,"28 years, 2 months, 4 days"
43y,female,"30 years, 5 months, 26 days"
44y,male,"27 years, 4 months, 28 days"
44y,female,"29 years, 7 months, 30 days"
45y,male,"26 years, 7 months, 23 days"
45y,female,"28 years, 10 months, 3 days"
46y,male,"25 years, 10 months, 19 days"
46y,female,"28 years, 0 months, 6 days"
47y,male,"25 years, 1 months, 17 days"
47y,female,"27 years, 2 months, 10 days"
48y,male,"24 years, 4 months, 15 days"
